img;x1;y1;x2;y2
00004.ppm;1304;295;1357;355
00004.ppm;915;311;955;355
00004.ppm;1081;44;1193;167
00004.ppm;545;418;563;436
00004.ppm;924;2;1022;100
00004.ppm;2;694;48;742
00004.ppm;875;506;1014;647
00004.ppm;1170;219;1189;238
00004.ppm;824;380;916;482
00004.ppm;1152;192;1168;208
00004.ppm;2;694;48;744
00005.ppm;772;2;797;24
00005.ppm;47;40;76;70
00005.ppm;743;40;785;80
00005.ppm;1;55;55;112
00005.ppm;27;93;83;144
00005.ppm;1109;98;1126;113
00005.ppm;746;108;762;126
00005.ppm;716;141;780;209
00005.ppm;840;145;859;164
00005.ppm;56;152;145;234
00005.ppm;1174;162;1218;202
00005.ppm;129;165;161;201
00005.ppm;703;170;731;199
00005.ppm;240;177;339;277
00005.ppm;179;181;236;238
00005.ppm;1194;183;1266;259
00005.ppm;851;191;878;216
00005.ppm;720;195;775;253
00005.ppm;892;200;916;222
00005.ppm;176;205;207;238
00005.ppm;921;205;945;229
00005.ppm;954;231;971;250
00005.ppm;668;237;744;324
00005.ppm;227;238;243;255
00005.ppm;247;238;272;260
00005.ppm;105;241;126;261
00005.ppm;135;293;153;309
00005.ppm;865;298;886;318
00005.ppm;787;332;826;372
00005.ppm;727;338;752;366
00005.ppm;445;340;508;401
00005.ppm;363;344;383;364
00005.ppm;1234;347;1270;382
00005.ppm;250;351;376;483
00005.ppm;15;356;38;376
00005.ppm;16;374;44;406
00005.ppm;447;381;466;401
00005.ppm;494;400;521;431
00005.ppm;655;424;673;442
00005.ppm;1169;457;1216;504
00005.ppm;518;486;538;505
00005.ppm;1178;487;1215;522
00005.ppm;1183;496;1201;515
00005.ppm;1082;517;1097;533
00005.ppm;984;545;1003;565
00005.ppm;1237;553;1323;646
00005.ppm;794;580;814;600
00005.ppm;1334;606;1356;627
00005.ppm;1136;619;1152;636
00005.ppm;1052;654;1079;681
00005.ppm;1117;674;1148;702
00005.ppm;1156;684;1176;706
00005.ppm;1265;736;1284;757
00005.ppm;282;758;303;778
00005.ppm;554;762;593;799
00005.ppm;208;769;236;795
00005.ppm;747;236;818;312
00005.ppm;889;441;966;520
00005.ppm;823;191;878;248
00005.ppm;1156;684;1191;718
00005.ppm;838;337;861;358
00005.ppm;787;332;831;372
00005.ppm;853;359;897;409
00005.ppm;889;441;971;520
00005.ppm;1083;719;1105;742
00005.ppm;1162;450;1216;504
00005.ppm;1238;472;1356;604
00005.ppm;889;441;971;525
00005.ppm;789;94;823;124
00005.ppm;832;337;861;363
00005.ppm;823;191;882;248
00005.ppm;714;141;780;209
00005.ppm;61;25;140;95
00005.ppm;714;135;780;209
00005.ppm;416;378;504;471
00005.ppm;823;580;846;605
00005.ppm;179;181;237;238
00005.ppm;1070;517;1109;556
00005.ppm;227;177;339;277
00005.ppm;756;62;823;124
00005.ppm;445;340;515;401
00005.ppm;1128;514;1146;534
00005.ppm;20;84;83;144
00005.ppm;864;298;886;318
00005.ppm;174;181;237;238
00005.ppm;756;3;891;124
00005.ppm;227;177;358;316
00005.ppm;112;116;250;246
00005.ppm;924;36;951;60
00005.ppm;756;3;891;134
00005.ppm;416;361;523;471
00005.ppm;668;237;747;324
00005.ppm;3;95;164;235
00005.ppm;352;431;409;483
00005.ppm;37;14;140;119
00005.ppm;1234;347;1274;382
00005.ppm;621;237;747;353
00005.ppm;864;227;883;245
00005.ppm;924;36;958;71
00005.ppm;136;133;172;168
00005.ppm;954;231;972;250
00005.ppm;665;304;687;325
00005.ppm;823;191;887;248
00005.ppm;352;431;409;488
00005.ppm;914;36;958;80
00005.ppm;1193;182;1239;233
00005.ppm;1166;162;1239;233
00005.ppm;1166;162;1266;259
00005.ppm;349;431;409;488
00005.ppm;617;197;737;335
00005.ppm;2;625;50;675
00006.ppm;1017;2;1042;29
00006.ppm;1085;2;1161;75
00006.ppm;1249;4;1275;28
00006.ppm;1090;10;1113;32
00006.ppm;1205;12;1222;29
00006.ppm;964;30;991;55
00006.ppm;1091;74;1109;93
00006.ppm;844;90;910;151
00006.ppm;979;100;994;116
00006.ppm;957;143;1003;188
00006.ppm;945;157;961;174
00006.ppm;883;208;916;237
00006.ppm;930;208;955;235
00006.ppm;967;217;984;233
00006.ppm;391;287;416;312
00006.ppm;343;297;362;318
00006.ppm;792;300;922;427
00006.ppm;396;306;431;338
00006.ppm;1075;323;1098;343
00006.ppm;996;325;1017;347
00006.ppm;636;341;662;370
00006.ppm;114;350;150;389
00006.ppm;478;356;527;401
00006.ppm;177;373;212;412
00006.ppm;129;389;147;405
00006.ppm;1049;416;1069;439
00006.ppm;1027;420;1042;435
00006.ppm;966;480;992;504
00006.ppm;200;485;221;504
00006.ppm;604;486;619;501
00006.ppm;469;498;497;527
00006.ppm;455;529;498;574
00006.ppm;673;560;765;652
00006.ppm;981;582;998;598
00006.ppm;661;685;687;713
00006.ppm;1168;703;1185;718
00006.ppm;162;408;189;434
00006.ppm;860;544;892;573
00006.ppm;928;291;991;354
00006.ppm;998;355;1038;400
00006.ppm;769;356;944;539
00006.ppm;1009;3;1084;79
00006.ppm;948;2;1000;51
00006.ppm;1049;416;1071;439
00006.ppm;1017;2;1046;29
00006.ppm;993;3;1084;85
00006.ppm;927;243;1004;317
00006.ppm;850;135;924;205
00006.ppm;1085;2;1182;93
00006.ppm;996;325;1020;347
00006.ppm;1101;389;1122;411
00006.ppm;769;356;944;544
00006.ppm;595;687;646;732
00006.ppm;937;196;969;231
00006.ppm;927;242;1004;317
00006.ppm;964;30;991;59
00006.ppm;919;39;944;62
00006.ppm;850;129;924;205
00006.ppm;937;194;970;231
00006.ppm;791;300;922;427
00006.ppm;927;242;1007;317
00006.ppm;927;241;1007;317
00006.ppm;391;287;416;313
00006.ppm;912;757;960;799
00006.ppm;498;415;513;432
00006.ppm;603;486;619;501
00007.ppm;3;3;18;19
00007.ppm;221;9;241;28
00007.ppm;33;47;48;63
00007.ppm;244;54;279;90
00007.ppm;1329;58;1356;82
00007.ppm;229;119;312;200
00007.ppm;1007;121;1108;215
00007.ppm;1189;126;1286;220
00007.ppm;1276;146;1323;200
00007.ppm;1154;168;1215;225
00007.ppm;1181;185;1198;201
00007.ppm;912;196;954;233
00007.ppm;896;202;949;254
00007.ppm;1023;207;1040;226
00007.ppm;3;208;25;229
00007.ppm;925;220;940;235
00007.ppm;1143;226;1159;243
00007.ppm;1060;233;1077;250
00007.ppm;932;237;968;277
00007.ppm;87;239;105;256
00007.ppm;1019;243;1034;260
00007.ppm;938;248;996;308
00007.ppm;285;256;330;296
00007.ppm;839;265;897;324
00007.ppm;730;280;835;395
00007.ppm;314;284;345;311
00007.ppm;812;288;834;313
00007.ppm;906;289;960;349
00007.ppm;255;303;277;326
00007.ppm;899;306;925;331
00007.ppm;645;312;677;347
00007.ppm;720;312;746;340
00007.ppm;894;325;911;343
00007.ppm;1088;325;1107;342
00007.ppm;718;331;740;355
00007.ppm;393;345;414;364
00007.ppm;632;348;660;376
00007.ppm;674;351;692;368
00007.ppm;774;351;837;410
00007.ppm;350;362;405;413
00007.ppm;993;369;1143;503
00007.ppm;766;397;791;419
00007.ppm;783;404;802;425
00007.ppm;611;409;629;425
00007.ppm;291;413;313;435
00007.ppm;832;414;857;439
00007.ppm;1023;414;1044;434
00007.ppm;832;415;856;437
00007.ppm;742;422;796;472
00007.ppm;1118;439;1138;460
00007.ppm;555;444;604;499
00007.ppm;1035;446;1064;473
00007.ppm;392;453;423;482
00007.ppm;630;454;645;471
00007.ppm;1282;454;1301;473
00007.ppm;653;463;686;500
00007.ppm;555;484;594;525
00007.ppm;752;485;776;509
00007.ppm;44;489;80;522
00007.ppm;82;495;116;530
00007.ppm;378;500;430;552
00007.ppm;122;501;141;522
00007.ppm;638;502;667;530
00007.ppm;449;515;466;534
00007.ppm;471;515;494;536
00007.ppm;474;516;493;533
00007.ppm;321;529;342;553
00007.ppm;225;545;277;603
00007.ppm;276;587;302;616
00007.ppm;277;588;316;628
00007.ppm;921;672;945;694
00007.ppm;555;403;667;509
00007.ppm;752;468;843;568
00007.ppm;896;202;949;260
00007.ppm;285;256;368;345
00007.ppm;662;661;683;683
00007.ppm;104;122;170;192
00007.ppm;222;119;312;200
00007.ppm;932;237;996;308
00007.ppm;894;289;960;349
00007.ppm;220;69;271;120
00007.ppm;741;424;797;473
00007.ppm;741;422;797;473
00007.ppm;1019;228;1051;260
00007.ppm;552;351;685;487
00007.ppm;294;262;349;311
00007.ppm;749;336;780;369
00007.ppm;231;1;295;60
00007.ppm;842;281;960;409
00007.ppm;1189;126;1286;225
00007.ppm;626;348;660;379
00007.ppm;552;348;685;487
00007.ppm;264;194;334;268
00007.ppm;238;82;295;139
00007.ppm;832;408;865;437
00007.ppm;552;348;692;487
00007.ppm;332;339;405;413
00007.ppm;281;100;314;129
00007.ppm;330;413;409;502
00007.ppm;774;351;871;461
00007.ppm;715;331;740;355
00007.ppm;225;545;302;616
00007.ppm;380;422;413;456
00007.ppm;238;82;302;146
00007.ppm;331;339;405;413
00007.ppm;1188;123;1239;168
00007.ppm;652;462;686;500
00007.ppm;852;255;878;278
00007.ppm;1154;126;1357;348
00007.ppm;1188;119;1249;180
00007.ppm;783;398;808;425
00007.ppm;60;14;116;74
00007.ppm;791;532;823;562
00007.ppm;382;512;407;534
00007.ppm;360;422;423;493
00007.ppm;220;9;241;32
00007.ppm;831;406;865;437
00007.ppm;278;167;347;235
00007.ppm;154;2;176;24
00007.ppm;180;555;245;619
00007.ppm;831;406;865;439
00007.ppm;374;735;396;757
00007.ppm;975;414;1044;483
00007.ppm;280;96;314;129
00007.ppm;202;484;277;551
00007.ppm;828;406;865;439
00007.ppm;645;312;684;349
00007.ppm;1032;437;1064;473
00008.ppm;3;3;291;294
00008.ppm;1138;95;1177;139
00008.ppm;1253;107;1356;219
00008.ppm;1130;117;1151;136
00008.ppm;1186;127;1202;143
00008.ppm;990;140;1016;167
00008.ppm;1178;140;1209;169
00008.ppm;1015;146;1053;181
00008.ppm;1085;146;1107;168
00008.ppm;1138;160;1157;181
00008.ppm;1050;167;1077;192
00008.ppm;1316;196;1356;231
00008.ppm;1302;204;1322;224
00008.ppm;806;216;837;247
00008.ppm;1046;234;1078;267
00008.ppm;1021;235;1039;253
00008.ppm;1285;239;1300;255
00008.ppm;1077;241;1138;301
00008.ppm;1217;245;1242;273
00008.ppm;1252;249;1294;289
00008.ppm;1087;258;1104;273
00008.ppm;167;278;315;445
00008.ppm;81;290;157;362
00008.ppm;768;291;792;315
00008.ppm;273;316;358;411
00008.ppm;748;317;769;340
00008.ppm;159;320;219;380
00008.ppm;724;333;756;367
00008.ppm;906;345;928;370
00008.ppm;667;355;735;416
00008.ppm;1175;362;1202;392
00008.ppm;177;364;220;407
00008.ppm;1275;368;1313;407
00008.ppm;380;379;445;449
00008.ppm;930;399;953;420
00008.ppm;192;405;217;431
00008.ppm;875;408;897;430
00008.ppm;1266;408;1355;504
00008.ppm;1211;411;1228;428
00008.ppm;404;432;462;483
00008.ppm;788;433;808;452
00008.ppm;404;445;470;516
00008.ppm;298;446;314;463
00008.ppm;895;462;915;483
00008.ppm;790;465;806;480
00008.ppm;1029;469;1112;552
00008.ppm;1161;473;1198;510
00008.ppm;565;480;587;503
00008.ppm;608;485;661;539
00008.ppm;52;486;78;514
00008.ppm;282;488;301;509
00008.ppm;85;494;118;527
00008.ppm;733;503;756;524
00008.ppm;1165;516;1186;535
00008.ppm;885;528;902;544
00008.ppm;1223;541;1241;558
00008.ppm;773;544;792;561
00008.ppm;1145;556;1161;572
00008.ppm;340;705;448;799
00008.ppm;844;462;880;494
00008.ppm;1038;395;1104;453
00008.ppm;159;320;243;406
00008.ppm;1121;461;1198;548
00008.ppm;1197;153;1314;273
00008.ppm;1152;228;1180;258
00008.ppm;1029;469;1112;559
00008.ppm;1150;227;1180;258
00008.ppm;1178;153;1314;273
00008.ppm;724;317;769;367
00008.ppm;1219;232;1234;249
00008.ppm;1025;469;1112;559
00008.ppm;807;222;857;268
00008.ppm;1204;418;1281;502
00008.ppm;782;428;808;452
00008.ppm;800;378;854;433
00008.ppm;160;313;229;383
00008.ppm;349;445;420;513
00008.ppm;85;494;120;527
00008.ppm;807;222;857;272
00008.ppm;1020;469;1112;559
00008.ppm;1275;355;1321;407
00008.ppm;1275;355;1330;407
00008.ppm;1290;143;1316;168
00008.ppm;1297;216;1315;233
00008.ppm;667;317;769;416
00008.ppm;105;271;229;383
00008.ppm;845;384;880;418
00008.ppm;807;221;862;272
00008.ppm;768;221;862;315
00008.ppm;1275;355;1330;411
00008.ppm;309;345;445;474
00008.ppm;1078;321;1098;342
00008.ppm;835;460;886;509
00008.ppm;973;387;990;402
00008.ppm;74;290;220;420
00008.ppm;1338;367;1355;385
00008.ppm;899;345;928;377
00008.ppm;984;255;1009;278
00008.ppm;1266;408;1356;510
00008.ppm;1269;355;1330;414
00008.ppm;1144;556;1161;574
00008.ppm;475;520;550;591
00008.ppm;121;414;177;475
00008.ppm;3;700;69;762
00008.ppm;937;309;953;326
00008.ppm;1302;204;1322;225
00009.ppm;945;111;1300;443
00009.ppm;1132;117;1178;163
00009.ppm;1187;118;1213;144
00009.ppm;1106;127;1132;150
00009.ppm;1071;134;1112;172
00009.ppm;1300;163;1356;212
00009.ppm;1022;174;1082;234
00009.ppm;1023;231;1046;255
00009.ppm;1177;237;1201;261
00009.ppm;1194;246;1214;265
00009.ppm;95;305;155;362
00009.ppm;963;348;991;378
00009.ppm;1162;348;1184;372
00009.ppm;1068;358;1093;383
00009.ppm;1013;368;1032;388
00009.ppm;148;369;199;422
00009.ppm;95;378;151;432
00009.ppm;1054;379;1097;427
00009.ppm;946;386;974;414
00009.ppm;952;406;975;429
00009.ppm;667;407;693;432
00009.ppm;653;411;676;434
00009.ppm;690;411;712;434
00009.ppm;1139;418;1160;438
00009.ppm;323;425;354;458
00009.ppm;1169;426;1237;500
00009.ppm;850;434;894;473
00009.ppm;309;435;334;457
00009.ppm;253;447;294;488
00009.ppm;154;450;186;485
00009.ppm;917;457;947;489
00009.ppm;696;461;755;526
00009.ppm;737;462;753;480
00009.ppm;1231;465;1259;491
00009.ppm;427;478;454;504
00009.ppm;1260;500;1277;515
00009.ppm;1046;534;1066;553
00009.ppm;872;585;941;649
00009.ppm;1143;596;1162;616
00009.ppm;1015;649;1030;665
00009.ppm;988;653;1015;678
00009.ppm;1186;246;1214;272
00009.ppm;1132;117;1178;167
00009.ppm;297;435;334;471
00009.ppm;905;444;945;486
00009.ppm;904;446;947;489
00009.ppm;297;435;334;473
00009.ppm;1132;117;1184;171
00009.ppm;1200;336;1287;431
00009.ppm;1022;174;1083;234
00009.ppm;1187;118;1256;180
00009.ppm;1106;588;1137;620
00009.ppm;154;447;194;485
00009.ppm;904;446;948;490
00009.ppm;865;546;906;593
00009.ppm;139;369;199;422
00009.ppm;870;585;941;649
00009.ppm;425;478;454;504
00009.ppm;862;567;952;664
00010.ppm;960;2;1000;38
00010.ppm;3;3;272;259
00010.ppm;506;3;977;424
00010.ppm;1068;3;1098;32
00010.ppm;1267;3;1307;46
00010.ppm;951;4;1012;73
00010.ppm;1220;8;1243;32
00010.ppm;884;11;907;32
00010.ppm;866;23;985;137
00010.ppm;1239;36;1273;73
00010.ppm;1123;81;1147;107
00010.ppm;876;91;899;111
00010.ppm;1087;95;1102;110
00010.ppm;1171;113;1188;132
00010.ppm;924;132;957;168
00010.ppm;943;139;960;154
00010.ppm;1119;150;1136;167
00010.ppm;885;152;903;169
00010.ppm;1071;158;1094;180
00010.ppm;967;165;988;185
00010.ppm;880;174;901;195
00010.ppm;996;185;1012;202
00010.ppm;1195;189;1228;223
00010.ppm;1237;194;1252;209
00010.ppm;877;201;897;223
00010.ppm;705;204;745;249
00010.ppm;1089;211;1109;229
00010.ppm;1191;225;1235;266
00010.ppm;954;226;999;273
00010.ppm;703;227;721;246
00010.ppm;643;234;690;283
00010.ppm;1144;234;1164;254
00010.ppm;737;237;759;260
00010.ppm;929;239;961;269
00010.ppm;843;251;874;284
00010.ppm;799;254;828;283
00010.ppm;26;263;91;331
00010.ppm;1134;269;1162;299
00010.ppm;702;275;734;307
00010.ppm;790;295;810;314
00010.ppm;1288;299;1325;336
00010.ppm;1279;301;1303;327
00010.ppm;1033;304;1057;326
00010.ppm;3;306;89;399
00010.ppm;849;322;866;339
00010.ppm;1228;328;1253;354
00010.ppm;979;331;1012;367
00010.ppm;1236;353;1256;372
00010.ppm;1222;356;1269;399
00010.ppm;871;361;892;382
00010.ppm;1200;361;1264;431
00010.ppm;1190;374;1208;394
00010.ppm;1211;376;1251;417
00010.ppm;702;383;721;402
00010.ppm;1027;383;1073;427
00010.ppm;1212;385;1250;419
00010.ppm;1148;389;1176;414
00010.ppm;1258;390;1356;487
00010.ppm;1264;414;1283;435
00010.ppm;1091;418;1152;484
00010.ppm;1283;440;1299;456
00010.ppm;1041;444;1157;549
00010.ppm;835;458;876;499
00010.ppm;892;460;908;478
00010.ppm;1109;462;1162;516
00010.ppm;765;472;783;490
00010.ppm;1192;474;1225;508
00010.ppm;1255;479;1272;494
00010.ppm;840;484;857;499
00010.ppm;1297;487;1356;541
00010.ppm;462;517;501;555
00010.ppm;432;519;468;554
00010.ppm;606;520;642;553
00010.ppm;420;524;436;540
00010.ppm;711;524;754;567
00010.ppm;608;528;647;562
00010.ppm;1019;530;1039;549
00010.ppm;1236;534;1253;551
00010.ppm;754;540;771;555
00010.ppm;730;541;749;558
00010.ppm;791;541;834;588
00010.ppm;824;544;856;579
00010.ppm;1284;551;1299;567
00010.ppm;169;564;210;608
00010.ppm;244;567;498;799
00010.ppm;842;571;888;620
00010.ppm;16;622;34;639
00010.ppm;235;701;274;735
00010.ppm;3;735;44;775
00010.ppm;1051;485;1143;573
00010.ppm;789;351;812;375
00010.ppm;890;226;999;321
00010.ppm;1083;169;1115;197
00010.ppm;890;195;1020;321
00010.ppm;1248;367;1314;435
00010.ppm;797;60;877;137
00010.ppm;797;60;877;145
00010.ppm;1239;31;1281;73
00010.ppm;1276;301;1303;327
00010.ppm;1243;151;1299;202
00010.ppm;1116;234;1173;299
00010.ppm;797;60;877;147
00010.ppm;703;212;740;246
00010.ppm;703;188;810;294
00010.ppm;1206;3;1281;73
00010.ppm;1129;39;1166;77
00010.ppm;3;3;282;259
00010.ppm;1049;51;1066;69
00010.ppm;1248;367;1314;441
00010.ppm;1248;367;1335;452
00010.ppm;1088;226;1106;243
00010.ppm;1211;376;1251;419
00010.ppm;872;201;897;229
00010.ppm;1195;359;1268;435
00010.ppm;824;161;855;188
00010.ppm;1191;225;1237;266
00010.ppm;702;188;810;307
00010.ppm;1243;151;1307;216
00010.ppm;765;465;791;490
00010.ppm;960;2;1000;43
00010.ppm;1077;226;1106;253
00010.ppm;840;293;872;322
00010.ppm;832;293;872;334
00010.ppm;705;204;759;260
00010.ppm;1001;290;1062;346
00010.ppm;1021;216;1067;258
00010.ppm;1032;93;1051;113
00010.ppm;840;375;870;406
00010.ppm;788;60;877;147
00010.ppm;1127;35;1166;77
00010.ppm;711;458;881;615
00010.ppm;711;458;894;628
00010.ppm;1318;121;1344;144
00010.ppm;903;2;1000;89
00010.ppm;1276;300;1308;336
00010.ppm;1140;376;1157;395
00010.ppm;1084;234;1173;319
00010.ppm;892;460;911;478
00010.ppm;1177;427;1225;471
00010.ppm;1071;158;1095;180
00010.ppm;1187;371;1208;394
00010.ppm;705;204;759;266
00010.ppm;240;567;498;799
00010.ppm;988;492;1023;523
00010.ppm;226;522;248;545
00010.ppm;703;204;759;266
00010.ppm;691;204;759;266
00010.ppm;1189;356;1269;436
00010.ppm;2;263;110;368
00010.ppm;2;257;110;368
00010.ppm;2;250;110;368
00010.ppm;2;734;44;776
00010.ppm;1119;150;1144;177
00010.ppm;1195;392;1257;446
00010.ppm;790;295;812;315
00010.ppm;601;354;645;404
00010.ppm;1189;356;1269;446
00010.ppm;1319;212;1334;228
00010.ppm;840;542;868;573
00010.ppm;1027;383;1073;430
00010.ppm;1267;98;1287;119
00010.ppm;1049;50;1066;69
00010.ppm;1183;158;1202;175
00010.ppm;1195;359;1268;436
00010.ppm;1066;3;1098;32
00010.ppm;1024;383;1073;430
00010.ppm;1024;383;1075;430
00010.ppm;1195;359;1269;436
00011.ppm;473;3;502;30
00011.ppm;1099;54;1125;81
00011.ppm;41;61;94;114
00011.ppm;623;63;649;92
00011.ppm;535;70;635;172
00011.ppm;103;72;140;105
00011.ppm;610;74;693;168
00011.ppm;1206;74;1239;106
00011.ppm;696;85;725;116
00011.ppm;582;88;609;118
00011.ppm;1234;92;1252;111
00011.ppm;59;94;76;113
00011.ppm;1022;102;1037;119
00011.ppm;992;115;1024;144
00011.ppm;797;116;849;169
00011.ppm;43;117;61;135
00011.ppm;556;123;574;141
00011.ppm;513;126;533;148
00011.ppm;735;138;754;155
00011.ppm;709;143;729;161
00011.ppm;611;148;646;182
00011.ppm;126;150;145;170
00011.ppm;1024;150;1044;173
00011.ppm;1160;160;1188;191
00011.ppm;469;167;549;254
00011.ppm;481;186;506;210
00011.ppm;539;197;557;213
00011.ppm;1120;198;1140;218
00011.ppm;578;205;632;258
00011.ppm;555;207;580;229
00011.ppm;634;207;664;235
00011.ppm;536;210;579;257
00011.ppm;676;215;693;234
00011.ppm;657;217;677;240
00011.ppm;498;224;575;307
00011.ppm;640;228;669;259
00011.ppm;461;242;501;280
00011.ppm;35;252;59;277
00011.ppm;478;252;508;281
00011.ppm;717;267;779;335
00011.ppm;713;269;777;339
00011.ppm;1327;271;1350;291
00011.ppm;986;278;1002;295
00011.ppm;526;287;569;331
00011.ppm;120;288;138;306
00011.ppm;510;294;532;319
00011.ppm;682;297;705;317
00011.ppm;1162;321;1206;360
00011.ppm;728;337;769;384
00011.ppm;129;339;150;360
00011.ppm;728;342;766;378
00011.ppm;1024;346;1067;390
00011.ppm;730;349;760;381
00011.ppm;730;355;760;388
00011.ppm;134;358;153;375
00011.ppm;350;364;456;458
00011.ppm;1006;364;1024;384
00011.ppm;336;383;365;414
00011.ppm;550;396;577;425
00011.ppm;1017;407;1053;441
00011.ppm;1207;413;1237;444
00011.ppm;682;425;706;447
00011.ppm;927;426;948;446
00011.ppm;146;433;176;461
00011.ppm;1106;436;1141;469
00011.ppm;1202;441;1222;459
00011.ppm;966;476;993;502
00011.ppm;489;479;533;518
00011.ppm;1172;494;1208;530
00011.ppm;833;504;860;528
00011.ppm;780;511;795;528
00011.ppm;1269;514;1289;532
00011.ppm;980;519;1002;539
00011.ppm;567;523;602;557
00011.ppm;668;533;697;566
00011.ppm;792;567;809;583
00011.ppm;861;572;886;596
00011.ppm;498;166;659;307
00011.ppm;1207;394;1254;444
00011.ppm;478;58;588;174
00011.ppm;758;333;857;438
00011.ppm;852;158;892;204
00011.ppm;1069;309;1099;340
00011.ppm;963;437;1011;480
00011.ppm;1104;59;1165;119
00011.ppm;1071;289;1088;306
00011.ppm;55;94;76;117
00011.ppm;78;108;133;157
00011.ppm;1037;425;1078;469
00011.ppm;587;506;653;579
00011.ppm;19;3;128;120
00011.ppm;1239;541;1317;611
00011.ppm;1231;523;1317;611
00011.ppm;416;179;487;254
00011.ppm;758;333;882;472
00011.ppm;1006;364;1029;384
00011.ppm;550;396;581;429
00011.ppm;1233;481;1263;511
00011.ppm;963;437;1036;519
00011.ppm;8;3;128;135
00011.ppm;85;174;205;306
00011.ppm;959;437;1036;519
00011.ppm;761;528;809;583
00011.ppm;78;108;145;170
00011.ppm;1163;494;1208;544
00011.ppm;85;174;225;316
00011.ppm;85;17;140;76
00011.ppm;3;118;73;190
00011.ppm;1163;494;1214;544
00011.ppm;336;383;368;417
00011.ppm;1163;487;1214;544
00011.ppm;1070;78;1121;128
00011.ppm;434;241;476;281
00011.ppm;659;371;692;403
00011.ppm;654;371;692;405
00011.ppm;1003;284;1040;324
00011.ppm;79;240;119;282
00011.ppm;85;17;140;78
00011.ppm;75;125;122;168
00011.ppm;75;108;145;170
00011.ppm;646;174;674;200
00011.ppm;73;237;119;282
00011.ppm;582;368;601;389
00011.ppm;297;417;333;450
00012.ppm;335;2;362;26
00012.ppm;400;2;449;45
00012.ppm;332;3;389;65
00012.ppm;536;3;559;25
00012.ppm;129;18;147;38
00012.ppm;63;34;87;55
00012.ppm;301;42;381;134
00012.ppm;467;44;487;65
00012.ppm;132;46;147;62
00012.ppm;108;91;128;111
00012.ppm;129;128;150;152
00012.ppm;339;132;354;149
00012.ppm;50;140;74;164
00012.ppm;1292;151;1320;180
00012.ppm;246;155;295;205
00012.ppm;102;156;152;208
00012.ppm;595;163;630;201
00012.ppm;239;164;264;186
00012.ppm;584;168;657;249
00012.ppm;535;174;556;198
00012.ppm;469;179;539;241
00012.ppm;621;182;650;215
00012.ppm;898;189;934;229
00012.ppm;108;192;142;226
00012.ppm;130;193;195;260
00012.ppm;537;197;569;229
00012.ppm;1313;209;1330;224
00012.ppm;459;221;520;283
00012.ppm;643;223;695;272
00012.ppm;471;237;495;261
00012.ppm;1063;260;1285;485
00012.ppm;1222;265;1272;319
00012.ppm;1108;269;1126;285
00012.ppm;791;271;814;292
00012.ppm;449;274;469;294
00012.ppm;1310;274;1334;300
00012.ppm;141;275;161;298
00012.ppm;145;284;171;311
00012.ppm;221;288;273;346
00012.ppm;58;296;97;335
00012.ppm;945;297;969;320
00012.ppm;423;298;466;338
00012.ppm;267;301;285;319
00012.ppm;1295;304;1320;329
00012.ppm;217;307;255;346
00012.ppm;588;308;695;405
00012.ppm;716;311;767;360
00012.ppm;155;324;178;349
00012.ppm;892;325;916;347
00012.ppm;448;328;469;347
00012.ppm;43;330;84;377
00012.ppm;316;338;358;376
00012.ppm;1140;338;1166;367
00012.ppm;220;341;247;372
00012.ppm;182;343;206;364
00012.ppm;1124;344;1163;383
00012.ppm;106;348;126;368
00012.ppm;73;360;107;390
00012.ppm;725;365;750;390
00012.ppm;982;368;1030;414
00012.ppm;893;369;913;392
00012.ppm;872;372;893;393
00012.ppm;989;372;1025;407
00012.ppm;988;373;1024;408
00012.ppm;601;386;616;402
00012.ppm;217;388;237;408
00012.ppm;437;395;455;412
00012.ppm;1273;402;1301;428
00012.ppm;827;428;847;449
00012.ppm;421;432;461;475
00012.ppm;664;436;696;464
00012.ppm;665;438;753;539
00012.ppm;717;438;780;493
00012.ppm;11;455;43;484
00012.ppm;137;456;159;481
00012.ppm;713;476;803;559
00012.ppm;124;481;173;530
00012.ppm;11;485;29;503
00012.ppm;1242;490;1278;531
00012.ppm;71;527;90;545
00012.ppm;1078;556;1117;590
00012.ppm;114;583;186;650
00012.ppm;3;589;90;684
00012.ppm;250;590;275;618
00012.ppm;988;602;1007;619
00012.ppm;891;616;909;633
00012.ppm;1099;626;1117;642
00012.ppm;124;642;151;671
00012.ppm;958;644;990;673
00012.ppm;252;645;272;663
00012.ppm;22;659;42;682
00012.ppm;1060;659;1145;741
00012.ppm;1071;676;1086;692
00012.ppm;1192;695;1210;711
00012.ppm;436;713;455;731
00012.ppm;1068;737;1117;782
00012.ppm;428;3;628;205
00012.ppm;841;401;858;418
00012.ppm;436;393;511;471
00012.ppm;519;263;617;368
00012.ppm;6;444;43;484
00012.ppm;841;401;862;425
00012.ppm;718;233;764;279
00012.ppm;668;449;747;536
00012.ppm;141;436;183;473
00012.ppm;987;374;1030;414
00012.ppm;3;444;43;484
00012.ppm;416;179;539;293
00012.ppm;672;272;767;360
00012.ppm;1118;705;1148;737
00012.ppm;933;590;981;634
00012.ppm;106;64;214;164
00012.ppm;124;293;194;366
00012.ppm;468;348;490;368
00012.ppm;988;372;1025;408
00012.ppm;1098;312;1163;383
00012.ppm;1063;260;1306;485
00012.ppm;62;6;94;38
00012.ppm;870;372;893;396
00012.ppm;621;182;709;282
